theta23,dm31,chi2
33.2109,-0.001,530.676
33.8332,-0.001,529.337
34.4499,-0.001,528.083
35.0616,-0.001,526.912
35.6685,-0.001,525.824
36.2712,-0.001,524.817
36.8699,-0.001,523.89
37.465,-0.001,523.04
38.0567,-0.001,522.265
38.6455,-0.001,521.563
39.2315,-0.001,520.93
39.8151,-0.001,520.365
40.3966,-0.001,519.863
40.9761,-0.001,519.423
41.5539,-0.001,519.041
42.1304,-0.001,518.715
42.7057,-0.001,518.442
43.2801,-0.001,518.221
43.8538,-0.001,518.05
44.427,-0.001,517.926
45,-0.001,517.851
45.573,-0.001,517.822
46.1462,-0.001,517.841
46.7199,-0.001,517.907
47.2943,-0.001,518.022
47.8696,-0.001,518.187
48.4461,-0.001,518.403
49.0239,-0.001,518.674
49.6034,-0.001,519.001
50.1849,-0.001,519.387
50.7685,-0.001,519.835
51.3545,-0.001,520.349
51.9433,-0.001,520.931
52.535,-0.001,521.585
53.1301,-0.001,522.314
53.7288,-0.001,523.12
54.3315,-0.001,524.007
54.9384,-0.001,524.976
55.5501,-0.001,526.031
56.1668,-0.001,527.172
56.7891,-0.001,528.401
33.2109,-0.00105556,527.242
33.8332,-0.00105556,525.876
34.4499,-0.00105556,524.598
35.0616,-0.00105556,523.406
35.6685,-0.00105556,522.299
36.2712,-0.00105556,521.274
36.8699,-0.00105556,520.33
37.465,-0.00105556,519.465
38.0567,-0.00105556,518.675
38.6455,-0.00105556,517.959
39.2315,-0.00105556,517.313
39.8151,-0.00105556,516.735
40.3966,-0.00105556,516.221
40.9761,-0.00105556,515.77
41.5539,-0.00105556,515.378
42.1304,-0.00105556,515.043
42.7057,-0.00105556,514.763
43.2801,-0.00105556,514.536
43.8538,-0.00105556,514.359
44.427,-0.00105556,514.233
45,-0.00105556,514.156
45.573,-0.00105556,514.127
46.1462,-0.00105556,514.147
46.7199,-0.00105556,514.217
47.2943,-0.00105556,514.336
47.8696,-0.00105556,514.507
48.4461,-0.00105556,514.731
49.0239,-0.00105556,515.011
49.6034,-0.00105556,515.348
50.1849,-0.00105556,515.746
50.7685,-0.00105556,516.207
51.3545,-0.00105556,516.734
51.9433,-0.00105556,517.331
52.535,-0.00105556,518
53.1301,-0.00105556,518.744
53.7288,-0.00105556,519.568
54.3315,-0.00105556,520.472
54.9384,-0.00105556,521.461
55.5501,-0.00105556,522.535
56.1668,-0.00105556,523.699
56.7891,-0.00105556,524.952
33.2109,-0.00111111,524.503
33.8332,-0.00111111,522.803
34.4499,-0.00111111,521.505
35.0616,-0.00111111,520.297
35.6685,-0.00111111,519.176
36.2712,-0.00111111,518.14
36.8699,-0.00111111,517.186
37.465,-0.00111111,516.312
38.0567,-0.00111111,515.515
38.6455,-0.00111111,514.792
39.2315,-0.00111111,514.14
39.8151,-0.00111111,513.556
40.3966,-0.00111111,513.038
40.9761,-0.00111111,512.582
41.5539,-0.00111111,512.185
42.1304,-0.00111111,511.847
42.7057,-0.00111111,511.563
43.2801,-0.00111111,511.333
43.8538,-0.00111111,511.154
44.427,-0.00111111,511.027
45,-0.00111111,510.948
45.573,-0.00111111,510.92
46.1462,-0.00111111,510.941
46.7199,-0.00111111,511.011
47.2943,-0.00111111,511.133
47.8696,-0.00111111,511.307
48.4461,-0.00111111,511.535
49.0239,-0.00111111,511.818
49.6034,-0.00111111,512.16
50.1849,-0.00111111,512.563
50.7685,-0.00111111,513.03
51.3545,-0.00111111,513.564
51.9433,-0.00111111,514.167
52.535,-0.00111111,514.844
53.1301,-0.00111111,515.597
53.7288,-0.00111111,516.429
54.3315,-0.00111111,517.343
54.9384,-0.00111111,518.343
55.5501,-0.00111111,519.432
56.1668,-0.00111111,520.611
56.7891,-0.00111111,521.883
33.2109,-0.00116667,521.531
33.8332,-0.00116667,520.177
34.4499,-0.00116667,518.921
35.0616,-0.00116667,517.76
35.6685,-0.00116667,516.694
36.2712,-0.00116667,515.362
36.8699,-0.00116667,514.398
37.465,-0.00116667,513.515
38.0567,-0.00116667,512.71
38.6455,-0.00116667,511.98
39.2315,-0.00116667,511.323
39.8151,-0.00116667,510.735
40.3966,-0.00116667,510.212
40.9761,-0.00116667,509.752
41.5539,-0.00116667,509.353
42.1304,-0.00116667,509.012
42.7057,-0.00116667,508.726
43.2801,-0.00116667,508.494
43.8538,-0.00116667,508.314
44.427,-0.00116667,508.185
45,-0.00116667,508.106
45.573,-0.00116667,508.077
46.1462,-0.00116667,508.098
46.7199,-0.00116667,508.17
47.2943,-0.00116667,508.293
47.8696,-0.00116667,508.468
48.4461,-0.00116667,508.698
49.0239,-0.00116667,508.984
49.6034,-0.00116667,509.328
50.1849,-0.00116667,509.735
50.7685,-0.00116667,510.205
51.3545,-0.00116667,510.743
51.9433,-0.00116667,511.352
52.535,-0.00116667,512.034
53.1301,-0.00116667,512.794
53.7288,-0.00116667,513.635
54.3315,-0.00116667,514.56
54.9384,-0.00116667,515.572
55.5501,-0.00116667,516.675
56.1668,-0.00116667,518.118
56.7891,-0.00116667,519.347
33.2109,-0.00122222,519.001
33.8332,-0.00122222,517.604
34.4499,-0.00122222,516.305
35.0616,-0.00122222,515.103
35.6685,-0.00122222,513.995
36.2712,-0.00122222,512.978
