theta23,dm31,chi2
45.5182,0.00218024,492.105
33.2109,0.001,537.422
33.8332,0.001,536.231
34.4499,0.001,535.123
35.0616,0.001,534.098
35.6685,0.001,533.155
36.2712,0.001,532.292
36.8699,0.001,531.506
37.465,0.001,530.795
38.0567,0.001,530.157
38.6455,0.001,529.586
39.2315,0.001,529.081
39.8151,0.001,528.638
40.3966,0.001,528.252
40.9761,0.001,527.922
41.5539,0.001,527.643
42.1304,0.001,527.412
42.7057,0.001,527.228
43.2801,0.001,527.089
43.8538,0.001,526.991
44.427,0.001,526.935
45,0.001,526.92
45.573,0.001,526.945
46.1462,0.001,527.011
46.7199,0.001,527.119
47.2943,0.001,527.271
47.8696,0.001,527.469
48.4461,0.001,527.714
49.0239,0.001,528.01
49.6034,0.001,528.359
50.1849,0.001,528.765
50.7685,0.001,529.232
51.3545,0.001,529.762
51.9433,0.001,530.359
52.535,0.001,531.026
53.1301,0.001,531.766
53.7288,0.001,532.582
54.3315,0.001,533.476
54.9384,0.001,534.45
55.5501,0.001,535.505
56.1668,0.001,536.643
56.7891,0.001,537.862
33.2109,0.00105556,533.021
33.8332,0.00105556,531.772
34.4499,0.00105556,530.608
35.0616,0.00105556,529.529
35.6685,0.00105556,528.533
36.2712,0.00105556,527.618
36.8699,0.00105556,526.783
37.465,0.00105556,526.024
38.0567,0.00105556,525.34
38.6455,0.00105556,524.726
39.2315,0.00105556,524.18
39.8151,0.00105556,523.698
40.3966,0.00105556,523.278
40.9761,0.00105556,522.915
41.5539,0.00105556,522.608
42.1304,0.00105556,522.354
42.7057,0.00105556,522.15
43.2801,0.00105556,521.993
43.8538,0.00105556,521.884
44.427,0.00105556,521.821
45,0.00105556,521.802
45.573,0.00105556,521.829
46.1462,0.00105556,521.901
46.7199,0.00105556,522.019
47.2943,0.00105556,522.185
47.8696,0.00105556,522.401
48.4461,0.00105556,522.669
49.0239,0.00105556,522.99
49.6034,0.00105556,523.369
50.1849,0.00105556,523.808
50.7685,0.00105556,524.31
51.3545,0.00105556,524.878
51.9433,0.00105556,525.516
52.535,0.00105556,526.226
53.1301,0.00105556,527.012
53.7288,0.00105556,527.876
54.3315,0.00105556,528.82
54.9384,0.00105556,529.846
55.5501,0.00105556,530.956
56.1668,0.00105556,532.15
56.7891,0.00105556,533.43
33.2109,0.00111111,529.19
33.8332,0.00111111,527.902
34.4499,0.00111111,526.702
35.0616,0.00111111,525.588
35.6685,0.00111111,524.558
36.2712,0.00111111,523.611
36.8699,0.00111111,522.745
37.465,0.00111111,521.956
38.0567,0.00111111,521.242
38.6455,0.00111111,520.6
39.2315,0.00111111,520.028
39.8151,0.00111111,519.521
40.3966,0.00111111,519.078
40.9761,0.00111111,518.694
41.5539,0.00111111,518.368
42.1304,0.00111111,518.097
42.7057,0.00111111,517.879
43.2801,0.00111111,517.712
43.8538,0.00111111,517.594
44.427,0.00111111,517.525
45,0.00111111,517.503
45.573,0.00111111,517.53
46.1462,0.00111111,517.605
46.7199,0.00111111,517.729
47.2943,0.00111111,517.904
47.8696,0.00111111,518.13
48.4461,0.00111111,518.411
49.0239,0.00111111,518.749
49.6034,0.00111111,519.145
50.1849,0.00111111,519.604
